alg,impl,system,nnode,nproc,thread_per_proc,a_rows,a_cols,b_rows,b_cols,p1,p2,p3,gather_a_time,gen_b_time,gather_b_time,local_multiply_time,cpu_gpu_data_move_time,scatter_reduce_time,timestamp
matmul1gen,cpp,perlmutter-gpu-cpu,64,256,32,1000000,1000000,1000000,1000,256,1,1,0.0,0.71114,0.0,29.231586,0.0,0.0,2026-02-14T21:00:49
matmul1comm,cpp,perlmutter-gpu-cpu,32,512,8,50000,50000,50000,5000,512,1,1,0.0,0.197072,0.992351,0.871087,0.0,0.0,2026-02-13T07:46:08
matmul1gen,cpp,perlmutter-gpu-cpu,16,64,32,50000,50000,50000,500,64,1,1,0.0,0.082454,0.0,0.137209,0.0,0.0,2026-02-14T20:47:10
matmul1comm,cpp,perlmutter-cpu,32,128,64,50000,50000,50000,5000,128,1,1,0.0,0.002577,0.747163,0.435795,0.0,0.0,2025-08-10T20:41:05
matmul1comm,cpp,perlmutter-gpu-cpu,8,128,8,50000,50000,50000,500,128,1,1,0.0,0.227271,0.126025,0.209797,0.0,0.0,2026-02-13T07:39:54
matmul1gen,cpp,perlmutter-gpu-cpu,2,32,8,50000,50000,50000,5000,32,1,1,0.0,0.634715,0.0,8.048965,0.0,0.0,2026-02-13T07:18:44
matmul1gen,cpp,perlmutter-gpu-cpu,4,64,8,50000,50000,50000,5000,64,1,1,0.0,0.66567,0.0,4.247594,0.0,0.0,2026-02-13T07:28:33
matmul1comm,cpp,perlmutter-gpu-cpu,1,4,32,50000,50000,50000,500,4,1,1,0.0,0.078843,0.076292,1.707716,0.0,0.0,2026-02-14T21:01:42
matmul1comm,cpp,perlmutter-gpu-cpu,32,128,32,50000,50000,50000,500,128,1,1,0.0,0.055736,0.221677,0.072423,0.0,0.0,2026-02-14T20:49:10
matmul1comm,cpp,perlmutter-gpu-cpu,16,256,8,50000,50000,50000,5000,256,1,1,0.0,0.025761,1.024817,1.271956,0.0,0.0,2026-02-13T07:29:16
matmul1gen,cpp,perlmutter-gpu-cpu,32,512,8,50000,50000,50000,5000,512,1,1,0.0,0.696642,0.0,0.873413,0.0,0.0,2026-02-13T07:43:25
matmul1comm,cpp,perlmutter-gpu-cpu,16,64,32,50000,50000,50000,5000,64,1,1,0.0,0.049624,0.637985,1.130323,0.0,0.0,2026-02-14T20:47:03
matmul1comm,cpp,perlmutter-gpu-cpu,2,32,8,50000,50000,50000,500,32,1,1,0.0,0.116882,0.093522,0.906758,0.0,0.0,2026-02-13T07:29:07
